Entity,Dim_0,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,Dim_21,Dim_22,Dim_23,Dim_24,Dim_25,Dim_26,Dim_27,Dim_28,Dim_29,Dim_30,Dim_31,Dim_32,Dim_33,Dim_34,Dim_35,Dim_36,Dim_37,Dim_38,Dim_39,Dim_40,Dim_41,Dim_42,Dim_43,Dim_44,Dim_45,Dim_46,Dim_47,Dim_48,Dim_49
http://en.wikipedia.org/wiki/Elizabeth_Ibanda-Nahamya,-0.7093949,0.7404962,0.29806346,-0.33920133,0.3939667,0.29203916,-0.6807618,-0.8417742,0.06322089,0.6195184,1.0306882,-0.19481468,0.90390575,0.53864825,0.09898793,0.3285234,0.88765043,0.14455995,-0.25962397,0.096694775,0.68207747,0.8751697,0.27272975,-0.51350933,-0.20621005,-0.9257115,-0.3119781,0.7837653,0.018405512,0.18582878,0.2788991,-0.22145456,0.30936852,-0.5724956,-1.0241597,0.78063095,-0.115731545,0.2217278,-0.015038168,0.07020278,-0.53483164,-0.08661322,0.09486602,-0.014429335,-0.72222686,-0.4231383,0.62355024,0.14479548,0.34657302,-0.18494289
http://dbpedia.org/ontology/Eukaryote,-1.0299277,0.7043764,0.9329802,1.8014876,-0.07536439,-0.7135292,-2.6815593,-1.8483193,0.35613433,-2.3681996,-1.30267,0.66646487,0.17995529,-0.4253215,-1.4812928,0.58413315,-2.0142534,-0.8657467,-1.4105712,0.8112528,2.3596792,1.4040372,-1.0125912,-0.60378075,-0.6151492,-0.9595611,0.6414735,-0.4148078,-0.29228082,2.4837832,-0.58847564,-0.6631677,-1.21252,1.8407166,-0.5669873,1.2408621,-2.4892554,-0.2162601,1.2555109,-0.65280455,0.7788099,-0.68419933,-0.4544784,-0.84063464,-1.5583451,-0.771627,0.09935335,0.026123224,1.8373262,0.72128433
http://dbpedia.org/resource/Abdolkarim_Soroush,0.75516206,-1.184654,-1.0333629,1.3735645,-0.93044394,1.0502598,1.1815877,0.6309844,-1.6464865,1.028472,0.6257279,-0.26797187,0.97922134,1.5390304,1.0976738,1.7666829,0.98405725,-0.8430428,1.1117961,0.95266503,-1.168921,-1.0904751,0.13657308,1.3639159,-0.5575563,-0.6882977,1.2243538,-1.0611482,-0.036248617,-0.9691884,-0.17917818,-1.3445245,0.4858485,-0.4375561,-0.4358659,-0.17071337,-0.23226261,-0.6306847,1.3626761,-0.8424063,0.45643267,-0.106618546,1.4934402,0.010563978,-0.27210483,1.6053998,-1.2044748,-0.930581,0.3338499,-0.96177673
http://dbpedia.org/resource/Babylon_5:_Dark_Genesis_–_The_Birth_of_the_Psi_Corps,0.20017588,0.0727425,0.084765494,0.45717487,0.0745854,-0.46234873,-0.3044861,-0.21737449,-0.52989805,-0.7556591,1.5729083,0.50965667,0.81896156,1.2870293,-0.83790845,1.4208069,0.595197,-0.33989283,0.27796498,-0.49692124,-0.01577295,1.103439,0.96535075,0.48416293,-0.7465458,-1.8150691,0.07708819,-0.716994,-0.3016135,0.40837842,1.0655818,1.5616198,0.010121813,0.43910807,1.1918751,-0.009769308,0.5826418,-0.17405291,0.96665365,1.4565152,-0.29229605,0.3423537,-0.8422529,-0.14349023,0.18961169,-0.65597266,0.84748924,0.6742604,0.048054796,-0.6873712
http://dbpedia.org/class/yago/WikicatGermanFootballers,-0.2831946,0.63083494,0.9366376,0.8242992,0.64828634,1.09405,-1.0877239,0.16406964,-0.6956104,-0.060868952,-0.8370103,0.055548005,-0.3400167,-0.21929033,0.030654782,0.68572754,0.46639556,-0.70233953,-1.0638312,0.7647551,0.7999216,0.16728383,0.27626708,0.21069244,-0.7579059,-0.26153404,-0.83943754,0.6310234,0.762438,-0.6920356,-1.2214252,0.4365406,-0.031066595,-0.36844113,-0.3714103,0.8671368,-0.36610845,0.68661577,0.37236118,-0.62368965,-0.25709397,0.48781654,-0.21938466,-0.41045344,-0.25793132,0.27322045,0.16219702,-0.35024896,0.11887487,-0.72224045
http://dbpedia.org/resource/Rapthi_Kerkoven,0.2201146,0.84078324,-0.26115417,0.6544035,0.53207743,-0.2557179,0.22852716,-0.35552818,-0.5512135,0.3187149,-0.07706721,-0.018928388,0.2954195,0.5390211,-0.21168244,-0.1475935,0.4786456,-0.107204415,0.0110842325,0.39600375,-0.19401741,0.30345532,0.10329719,0.08469469,-0.42365837,-0.39563423,-0.32284167,-0.11998934,-0.72268015,-0.35618114,0.28413916,-0.6683068,-0.207945,0.1710143,-0.32636115,-0.031328924,0.390886,-0.17811982,-0.38260058,0.37336418,-0.40501747,0.57936823,0.27848935,0.9353884,0.14268522,0.13648364,0.09175451,-0.5898224,-0.16690242,-0.63248265
http://dbpedia.org/class/yago/Traveler109629752,-0.5257504,-0.20828354,-0.653778,1.8284874,-0.9006228,0.69928986,-0.26198798,-0.2554725,-1.0747389,0.17767386,-0.67108446,-0.83396465,-0.78568053,-0.36351085,-1.0530281,0.61967134,-0.08584251,0.35282713,-0.13867101,0.09832404,-0.35379955,1.6164615,-0.95232284,-0.9700876,-0.25404316,1.3279041,-0.6859021,-0.63731986,0.14087461,-0.5031791,0.37850994,1.3604531,-0.62595624,0.15504876,0.65213525,-0.46653903,0.9559897,0.4422691,1.1780931,0.3574563,-0.8330062,0.09622174,1.0101947,-0.6144602,-0.5959486,0.13689254,-1.9182177,-0.16666363,-0.25936547,-0.11174624
http://dbpedia.org/resource/Żakówek,0.38265046,0.031660367,0.16122885,0.24394521,-0.117073625,-0.94641376,0.73066884,-0.24526468,0.2409111,0.6784661,0.4571454,0.33599976,-0.29741493,-0.09781004,-0.72312284,0.8204643,-0.27009475,-0.031957548,0.70215404,-1.0121967,-0.77807397,0.91272324,-0.8073762,-0.43578395,-0.38792208,0.7107097,0.31319928,-0.62899095,1.1690922,0.012083343,-0.1288542,0.3878719,-0.52937585,0.11687181,-1.0721993,-0.88343745,-0.7479728,-0.044600274,-0.8519313,0.040010396,0.39059252,0.033466347,-0.63444906,0.044092968,0.89809793,-0.015404088,-0.57701206,-0.4089521,-0.7346718,0.9419399
http://dbpedia.org/class/yago/Instrumentality103575240,-2.296662,1.8795537,0.4498488,-0.14744502,0.19881186,1.6240871,-1.7468603,-0.6560934,-1.0149091,0.50399035,0.5514065,0.8572479,0.2332131,1.0766886,-0.042591162,0.5456377,0.8305926,1.3209485,-0.87168765,-1.1457992,0.04517777,-0.3730991,-0.13521014,-1.7961019,2.008654,0.90080756,0.5430259,0.16454756,1.3576553,0.8489213,1.8191849,1.5712254,-2.5724046,1.9175539,-0.4681657,-0.012574611,-2.1380143,0.45123503,-1.3983973,2.0961843,-0.3113632,-1.8616705,-0.954374,-1.2442847,-1.6707088,-1.7572118,-0.21025826,-0.42906103,0.64922696,-0.3050304
http://en.wikipedia.org/wiki/Msasa,0.12016475,1.0108563,-0.07718343,0.26838166,0.71874803,0.26734358,-0.10239775,-0.045829885,0.77047485,0.4307566,0.5609431,0.0020071098,0.9396148,0.27836514,1.3648672,0.69646335,0.85723805,-0.19341661,0.08411636,-0.7288336,-0.04137116,1.1474124,0.8547625,-0.4194124,-0.5415739,-0.66603494,-0.7279489,0.33253747,0.16447234,-0.16830036,0.5781367,0.61034274,-0.15134776,-0.9506703,-0.6924796,0.37667286,0.17222165,-0.061032657,-0.4206757,-0.42059532,-0.7461882,-0.9154013,0.06883269,-0.59670156,-0.19012341,-0.15061001,0.5792554,0.6366864,-0.1533759,-0.5496939
